description,category,transaction_type
Yoga and meditation session fees order,Health,expense
Tata Power electricity bill online,Bills,expense
FASTag toll plaza electronic recharge bill,Transport,expense
Gas pipeline utility bill charge,Bills,expense
Myntra fashionable jacket clothes,Shopping,expense
Car service periodic maintenance oil change,Transport,expense
Adani electricity bill payment via UPI,Bills,expense
MedPlus online medicine order order,Health,expense
Dinner at Italian restaurant online,Food,expense
Dinner at Italian restaurant online,Food,expense
Airtel postpaid telecom bill via UPI,Bills,expense
RayBan sunglasses eyewear store store,Shopping,expense
High speed fiber broadband wifi bill order,Bills,expense
Pizza Hut dinner with family subscription,Food,expense
Home decor wall painting frames expense,Shopping,expense
Biryani point dinner party,Food,expense
Amusement theme park tickets expense,Entertainment,expense
Computer science algorithms textbook,Education,expense
Steam PC video game digital download subscription,Entertainment,expense
Supermarket grocery fruits vegetables via UPI,Food,expense
Apartment society maintenance maintenance charges payment,Bills,expense
Doctor clinic general consultation fee online,Health,expense
Amazon Prime Video annual subscription charge,Entertainment,expense
Dog grooming shampoo trimming spa order,Pets,expense
RayBan sunglasses eyewear store store,Shopping,expense
PVR Inox cinema movie tickets and popcorn order,Entertainment,expense
Drools dog food pet treats puppy snacks subscription,Pets,expense
Indigo flight airline ticket travel payment,Transport,expense
BookMyShow concert event ticket charge,Entertainment,expense
Gourmet cheese and pasta bill,Food,expense
MedPlus online medicine order,Health,expense
Pet clinic vet consultation checkup fee bill,Pets,expense
Zara cotton formal shirt bill,Shopping,expense
Airtel postpaid telecom bill charge,Bills,expense
Online makeup beauty cosmetics store charge,Shopping,expense
Netflix 4K UHD monthly subscription subscription,Entertainment,expense
Cashback rewards reward points bonus card payment,Income,income
Doctor clinic general consultation fee subscription,Health,expense
YouTube premium ad-free plan purchase,Entertainment,expense
Airport shuttle express bus,Transport,expense
Bird cage seeds pet care supplies food via UPI,Pets,expense
Apple Music annual plan purchase,Entertainment,expense
Bank high yield savings account interest,Income,income
Electricity power utility monthly bill,Bills,expense
H&M casual tshirts and jeans,Shopping,expense
Apple iPad tablet and accessories charge,Shopping,expense
Hospital health full body pathology test,Health,expense
Blinkit instant grocery delivery,Food,expense
Levi's denim jeans store,Shopping,expense
Disney Hotstar VIP streaming,Entertainment,expense
BigBasket monthly grocery supplies payment,Food,expense
Organic grocery store food items charge,Food,expense
Pet boarding day care kennel charges dog walking online,Pets,expense
Shopping mall department store,Shopping,expense
Vet animal clinic surgery medicine doctor bill,Pets,expense
Pet supplies cat litter leash collar harness payment,Pets,expense
Consulting advisory advisory fee credit,Income,income
School stationery pens notebooks supplies expense,Education,expense
MedPlus online medicine order expense,Health,expense
Pet accessories dog bed cat toys chew bone bill,Pets,expense
LinkedIn Learning monthly subscription store,Education,expense
Tata Power electricity bill expense,Bills,expense
Part time consulting project income bill,Income,income
Cashback rewards reward points bonus,Income,income
Airport parking lot fee ticket store,Transport,expense
Breakfast cafe coffee bagel store,Food,expense
Uber auto ride daily commute expense,Transport,expense
Bharat Petroleum diesel fill expense,Transport,expense
Electricity power utility monthly bill payment,Bills,expense
Blood test lab report charges purchase,Health,expense
Online makeup beauty cosmetics store via UPI,Shopping,expense
Dog grooming shampoo trimming spa,Pets,expense
MedPlus online medicine order bill,Health,expense
Language learning app subscription via UPI,Education,expense
Bike motorcycle wheel servicing order,Transport,expense
Freelance technical writing payout charge,Income,income
Airport shuttle express bus payment,Transport,expense
PlayStation Plus yearly subscription subscription,Entertainment,expense
Starbucks coffee latte,Food,expense
Apartment society maintenance maintenance charges,Bills,expense
McDonalds burger meal via UPI,Food,expense
Gas pipeline utility bill purchase,Bills,expense
LPG cooking gas cylinder refill store,Bills,expense
Local tea and snacks stall,Food,expense
Dinner at Italian restaurant via UPI,Food,expense
School stationery pens notebooks supplies purchase,Education,expense
Uber auto ride daily commute charge,Transport,expense
Language learning app subscription via UPI,Education,expense
Physics chemistry study material online,Education,expense
Amazon online shopping headphones purchase payment,Shopping,expense
Weekend club pub lounge drinks,Entertainment,expense
Local tea and snacks stall online,Food,expense
Electricity power utility monthly bill online,Bills,expense
Adani electricity bill payment via UPI,Bills,expense
Indian oil corporation petrol,Transport,expense
Bike motorcycle wheel servicing via UPI,Transport,expense
Kindle books self improvement reading,Education,expense
Disney Hotstar VIP streaming subscription,Entertainment,expense
KFC fried chicken bucket bill,Food,expense
Bank high yield savings account interest subscription,Income,income
University college tuition exam fee card payment,Education,expense
Physiotherapy treatment session online,Health,expense
Haldiram sweets snacks,Food,expense
Gaming tournament entry ticket payment,Entertainment,expense
High speed fiber broadband wifi bill store,Bills,expense
Drools dog food pet treats puppy snacks card payment,Pets,expense
Petrol fuel HPCL station refill via UPI,Transport,expense
Dine in bill Chinese food restaurant order,Food,expense
Online makeup beauty cosmetics store purchase,Shopping,expense
Pet clinic vet consultation checkup fee online,Pets,expense
Weekend club pub lounge drinks purchase,Entertainment,expense
YouTube premium ad-free plan online,Entertainment,expense
AWS certification exam voucher online,Education,expense
Cashback rewards reward points bonus via UPI,Income,income
Gaming tournament entry ticket store,Entertainment,expense
Bharat Petroleum diesel fill purchase,Transport,expense
Pet food dog food pedigree kibble bill,Pets,expense
AWS certification exam voucher purchase,Education,expense
Netflix 4K UHD monthly subscription bill,Entertainment,expense
Haldiram sweets snacks online,Food,expense
Me-O cat food creamy treats salmon subscription,Pets,expense
Indian oil corporation petrol card payment,Transport,expense
Local tea and snacks stall bill,Food,expense
PVR Inox cinema movie tickets and popcorn store,Entertainment,expense
Biryani point dinner party,Food,expense
Upwork freelance software contract bill,Income,income
KFC fried chicken bucket,Food,expense
Pizza Hut dinner with family online,Food,expense
School stationery pens notebooks supplies,Education,expense
Physiotherapy treatment session purchase,Health,expense
Myntra fashionable jacket clothes charge,Shopping,expense
Pet food dog food pedigree kibble,Pets,expense
KFC fried chicken bucket,Food,expense
Metro card smart card recharge via UPI,Transport,expense
Ola cab ride home from office subscription,Transport,expense
Adani electricity bill payment order,Bills,expense
Breakfast cafe coffee bagel expense,Food,expense
BigBasket monthly grocery supplies,Food,expense
Ice cream parlour dessert waffle payment,Food,expense
Local tea and snacks stall store,Food,expense
Airtel postpaid telecom bill online,Bills,expense
Public speaking certification workshop expense,Education,expense
Gourmet cheese and pasta subscription,Food,expense
Pharmacy medicine tablets painkiller subscription,Health,expense
Restaurant lunch with colleagues online,Food,expense
Spotify premium music subscription bill,Entertainment,expense
Physiotherapy treatment session expense,Health,expense
Levi's denim jeans store,Shopping,expense
MedPlus online medicine order,Health,expense
AWS certification exam voucher subscription,Education,expense
PVR Inox cinema movie tickets and popcorn charge,Entertainment,expense
Ice cream parlour dessert waffle,Food,expense
Haldiram sweets snacks bill,Food,expense
Train ticket sleeper class booking online,Transport,expense
Shopping mall department store order,Shopping,expense
Taxi cab rental city tour purchase,Transport,expense
McDonalds burger meal expense,Food,expense
BigBasket monthly grocery supplies expense,Food,expense
Pedigree adult dog meat gravy chicken rice charge,Pets,expense
Indian oil corporation petrol via UPI,Transport,expense
Me-O cat food creamy treats salmon store,Pets,expense
Spotify premium music subscription subscription,Entertainment,expense
Airport parking lot fee ticket,Transport,expense
Diesel fuel full tank for car subscription,Transport,expense
Starbucks coffee latte purchase,Food,expense
PVR Inox cinema movie tickets and popcorn store,Entertainment,expense
Biryani point dinner party card payment,Food,expense
PlayStation Plus yearly subscription,Entertainment,expense
Supermarket grocery fruits vegetables expense,Food,expense
Local tea and snacks stall online,Food,expense
Bus ticket reservation online,Transport,expense
PVR Inox cinema movie tickets and popcorn,Entertainment,expense
FASTag toll plaza electronic recharge payment,Transport,expense
Spectacles optical lenses eye checkup charge,Health,expense
Whiskas cat food ocean fish pouch online,Pets,expense
Restaurant lunch with colleagues order,Food,expense
Spectacles optical lenses eye checkup,Health,expense
Burger King whopper meal,Food,expense
Supermarket grocery fruits vegetables card payment,Food,expense
Physics chemistry study material,Education,expense
High speed fiber broadband wifi bill,Bills,expense
LinkedIn Learning monthly subscription,Education,expense
Pet boarding day care kennel charges dog walking expense,Pets,expense
Home decor wall painting frames subscription,Shopping,expense
Electricity power utility monthly bill,Bills,expense
IRCTC train ticket booking reservation bill,Transport,expense
Titan wrist watch purchase charge,Shopping,expense
Uber cab ride to airport order,Transport,expense
Restaurant lunch with colleagues online,Food,expense
School stationery pens notebooks supplies payment,Education,expense
Home insurance annual premium,Bills,expense
Cult Fit gym fitness center membership card payment,Health,expense
Spectacles optical lenses eye checkup payment,Health,expense
Language learning app subscription bill,Education,expense
Jio fiber optic broadband internet bill via UPI,Bills,expense
Leather wallet and belts payment,Shopping,expense
Uniqlo winter wear jacket store,Shopping,expense
Freelance technical writing payout bill,Income,income
Pet vaccination injection rabies shot deworming purchase,Pets,expense
Pet shop puppy food treats snacks bones expense,Pets,expense
Decathlon sports gym equipment store,Shopping,expense
IRCTC train ticket booking reservation,Transport,expense
Jio fiber optic broadband internet bill,Bills,expense
Zara cotton formal shirt,Shopping,expense
Steam PC video game digital download expense,Entertainment,expense
Pet accessories dog bed cat toys chew bone expense,Pets,expense
Diesel fuel full tank for car card payment,Transport,expense
KFC fried chicken bucket online,Food,expense
Furniture wooden study desk chair charge,Shopping,expense
Pedigree adult dog meat gravy chicken rice order,Pets,expense
Apple iPad tablet and accessories order,Shopping,expense
Pet boarding day care kennel charges dog walking expense,Pets,expense
H&M casual tshirts and jeans payment,Shopping,expense
Mutual fund stock market dividend,Income,income
Cult Fit gym fitness center membership subscription,Health,expense
Spotify premium music subscription store,Entertainment,expense
Pet clinic vet consultation checkup fee card payment,Pets,expense
Indigo flight airline ticket travel store,Transport,expense
Indigo flight airline ticket travel,Transport,expense
Diesel fuel full tank for car store,Transport,expense
Organic grocery store food items,Food,expense
Apartment society maintenance maintenance charges,Bills,expense
Uber cab ride to airport online,Transport,expense
Jio fiber optic broadband internet bill card payment,Bills,expense
Shell petrol pump fuel fill via UPI,Transport,expense
Breakfast cafe coffee bagel via UPI,Food,expense
Car service periodic maintenance oil change online,Transport,expense
Udemy online web development course via UPI,Education,expense
Airport parking lot fee ticket purchase,Transport,expense
Uniqlo winter wear jacket online,Shopping,expense
Uber auto ride daily commute,Transport,expense
Pet boarding day care kennel charges dog walking expense,Pets,expense
Zepto grocery order milk bread payment,Food,expense
Haldiram sweets snacks bill,Food,expense
Blood test lab report charges online,Health,expense
PlayStation Plus yearly subscription,Entertainment,expense
Cult Fit gym fitness center membership purchase,Health,expense
Bakery fresh cake and pastries card payment,Food,expense
Credit card annual membership fee bill order,Bills,expense
Pet vaccination injection rabies shot deworming payment,Pets,expense
Pharmacy medicine tablets painkiller bill,Health,expense
Dermatologist skin care clinic fee via UPI,Health,expense
Blood test lab report charges,Health,expense
Nike running sports sneakers purchase,Shopping,expense
High speed fiber broadband wifi bill subscription,Bills,expense
McDonalds burger meal expense,Food,expense
LPG cooking gas cylinder refill,Bills,expense
Pet clinic vet consultation checkup fee expense,Pets,expense
Pet accessories dog bed cat toys chew bone via UPI,Pets,expense
Taco Bell tacos via UPI,Food,expense
Me-O cat food creamy treats salmon subscription,Pets,expense
Starbucks coffee latte via UPI,Food,expense
Tata Power electricity bill card payment,Bills,expense
Apartment society maintenance maintenance charges,Bills,expense
Pet supplies cat litter leash collar harness via UPI,Pets,expense
Language learning app subscription,Education,expense
Taxi cab rental city tour expense,Transport,expense
Blinkit instant grocery delivery purchase,Food,expense
Electricity power utility monthly bill card payment,Bills,expense
Weekend club pub lounge drinks store,Entertainment,expense
Uber cab ride to airport card payment,Transport,expense
Mutual fund stock market dividend charge,Income,income
Physiotherapy treatment session card payment,Health,expense
Ice cream parlour dessert waffle store,Food,expense
Yoga and meditation session fees charge,Health,expense
Weekend club pub lounge drinks expense,Entertainment,expense
Biryani point dinner party payment,Food,expense
Computer science algorithms textbook purchase,Education,expense
Bharat Petroleum diesel fill online,Transport,expense
Airtel postpaid telecom bill purchase,Bills,expense
LPG cooking gas cylinder refill,Bills,expense
Language learning app subscription via UPI,Education,expense
Apollo pharmacy multivitamins supplements,Health,expense
Nike running sports sneakers online,Shopping,expense
Adani electricity bill payment,Bills,expense
Pet vaccination injection rabies shot deworming charge,Pets,expense
LPG cooking gas cylinder refill order,Bills,expense
University college tuition exam fee,Education,expense
Train ticket sleeper class booking card payment,Transport,expense
Apollo pharmacy multivitamins supplements purchase,Health,expense
Titan wrist watch purchase expense,Shopping,expense
Veterinary hospital medicine for dog puppy subscription,Pets,expense
Bike motorcycle wheel servicing card payment,Transport,expense
Blinkit instant grocery delivery,Food,expense
Bike motorcycle wheel servicing order,Transport,expense
Freelance website UI design project payout,Income,income
Upwork freelance software contract payment,Income,income
Myntra fashionable jacket clothes payment,Shopping,expense
H&M casual tshirts and jeans,Shopping,expense
Bharat Petroleum diesel fill charge,Transport,expense
Dermatologist skin care clinic fee bill,Health,expense
Leather wallet and belts expense,Shopping,expense
Mobile phone prepaid recharge pack,Bills,expense
Dominos pizza delivery online,Food,expense
Swiggy dinner order charge,Food,expense
Train ticket sleeper class booking payment,Transport,expense
Pet vaccination injection rabies shot deworming expense,Pets,expense
Gas pipeline utility bill,Bills,expense
Dominos pizza delivery subscription,Food,expense
IRCTC train ticket booking reservation store,Transport,expense
Shopping mall department store online,Shopping,expense
Ice cream parlour dessert waffle charge,Food,expense
Coursera AI machine learning specialization charge,Education,expense
Gaming tournament entry ticket store,Entertainment,expense
Bird cage seeds pet care supplies food online,Pets,expense
Shell petrol pump fuel fill purchase,Transport,expense
Spotify premium music subscription expense,Entertainment,expense
Cat food whiskas tuna wet food bill,Pets,expense
Apple iPad tablet and accessories,Shopping,expense
Me-O cat food creamy treats salmon,Pets,expense
Corporate performance bonus payment,Income,income
Airport shuttle express bus order,Transport,expense
Apple iPad tablet and accessories,Shopping,expense
LinkedIn Learning monthly subscription store,Education,expense
Mobile phone prepaid recharge pack subscription,Bills,expense
Part time consulting project income,Income,income
Levi's denim jeans store online,Shopping,expense
Furniture wooden study desk chair expense,Shopping,expense
Apple iPad tablet and accessories card payment,Shopping,expense
Decathlon sports gym equipment subscription,Shopping,expense
Nike running sports sneakers store,Shopping,expense
IRCTC train ticket booking reservation charge,Transport,expense
Bus ticket reservation online expense,Transport,expense
Pet food dog food pedigree kibble,Pets,expense
Pet clinic vet consultation checkup fee,Pets,expense
BigBasket monthly grocery supplies order,Food,expense
PlayStation Plus yearly subscription card payment,Entertainment,expense
IRCTC train ticket booking reservation charge,Transport,expense
Pet boarding day care kennel charges dog walking,Pets,expense
Apple Music annual plan via UPI,Entertainment,expense
Petrol fuel HPCL station refill via UPI,Transport,expense
Jio fiber optic broadband internet bill online,Bills,expense
Haldiram sweets snacks via UPI,Food,expense
Blinkit instant grocery delivery store,Food,expense
Cat food whiskas tuna wet food,Pets,expense
Home insurance annual premium charge,Bills,expense
Decathlon sports gym equipment,Shopping,expense
Burger King whopper meal subscription,Food,expense
Airport parking lot fee ticket payment,Transport,expense
Standup comedy show tickets charge,Entertainment,expense
Electricity power utility monthly bill purchase,Bills,expense
Biryani point dinner party expense,Food,expense
Monthly salary credited by employer,Income,income
Gaming tournament entry ticket expense,Entertainment,expense
Online makeup beauty cosmetics store purchase,Shopping,expense
Steam PC video game digital download store,Entertainment,expense
Vet animal clinic surgery medicine doctor card payment,Pets,expense
YouTube premium ad-free plan online,Entertainment,expense
Mobile phone prepaid recharge pack bill,Bills,expense
H&M casual tshirts and jeans via UPI,Shopping,expense
Freelance technical writing payout store,Income,income
Pharmacy medicine tablets painkiller,Health,expense
YouTube premium ad-free plan,Entertainment,expense
Furniture wooden study desk chair store,Shopping,expense
BookMyShow concert event ticket subscription,Entertainment,expense
Freelance technical writing payout expense,Income,income
Weekend club pub lounge drinks subscription,Entertainment,expense
BookMyShow concert event ticket online,Entertainment,expense
MedPlus online medicine order order,Health,expense
Airport parking lot fee ticket expense,Transport,expense
Indian oil corporation petrol subscription,Transport,expense
FASTag toll plaza electronic recharge subscription,Transport,expense
Physiotherapy treatment session,Health,expense
Kitchen non stick pan cookware charge,Shopping,expense
Zara cotton formal shirt,Shopping,expense
Pet food dog food pedigree kibble order,Pets,expense
Language learning app subscription online,Education,expense
PlayStation Plus yearly subscription online,Entertainment,expense
Taco Bell tacos store,Food,expense
Pizza Hut dinner with family store,Food,expense
Kindle books self improvement reading payment,Education,expense
Coursera AI machine learning specialization order,Education,expense
Flipkart electronics smart watch charge,Shopping,expense
Petrol fuel HPCL station refill card payment,Transport,expense
Decathlon sports gym equipment purchase,Shopping,expense
Myntra fashionable jacket clothes expense,Shopping,expense
Amazon Prime Video annual subscription card payment,Entertainment,expense
Purina pet food supercoat pro plan expense,Pets,expense
High speed fiber broadband wifi bill order,Bills,expense
Dinner at Italian restaurant,Food,expense
Ola cab ride home from office,Transport,expense
LinkedIn Learning monthly subscription,Education,expense
Royal Canin dog puppy dry food breed card payment,Pets,expense
Pizza Hut dinner with family store,Food,expense
Pet food dog food pedigree kibble order,Pets,expense
Organic grocery store food items bill,Food,expense
Haldiram sweets snacks via UPI,Food,expense
Pharmacy medicine tablets painkiller charge,Health,expense
Disney Hotstar VIP streaming online,Entertainment,expense
Bank high yield savings account interest subscription,Income,income
KFC fried chicken bucket expense,Food,expense
Gourmet cheese and pasta charge,Food,expense
AWS certification exam voucher,Education,expense
Tata Power electricity bill,Bills,expense
Public speaking certification workshop purchase,Education,expense
